,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
167,2019,WV,Mountaineer (1301),6264,Appalachian Power Co,54,53.0,38.9794,-81.9344,COAL,0.72491,1300.0,8239574.8,4366,1751,3 miles,35.0,42.0,32.0,0.02,34.0,9.0,4.0,0.08,0.33,0.39,0.38,50.0,74.0,65.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.12,49.0,67.0,60.0,0.13,0.1,0.13,1308.7404720397585
187,2019,ND,Coal Creek,6030,Great River Energy,38,55.0,47.377743,-101.157058,COAL,0.76809,1217.6,8186028.5,13,7,3 miles,71.0,60.0,47.0,0.03,14.0,5.0,7.0,0.15,0.25,0.39,0.18,36.0,35.0,31.0,0.26,0.28,0.33,0.0,61.0,55.0,45.0,0.01,0.02,0.04,0.05,42.0,49.0,32.0,0.08,0.08,0.13,805.109879115819
192,2019,IN,Rockport,6166,Indiana Michigan Power Co,18,147.0,37.9256,-87.0372,COAL,0.3577,2600.0,8119768.0,2259,925,3 miles,49.0,45.0,33.0,0.08,38.0,33.0,17.0,0.21,0.25,0.39,0.43,72.0,75.0,72.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.16,74.0,80.0,70.0,0.11,0.1,0.13,578.5991034338857
193,2019,MO,Thomas Hill Energy Center,2168,"Associated Electric Coop, Inc",29,175.0,39.5522,-92.6381,COAL,0.78463,1181.7,8119332.5,80,29,3 miles,52.0,51.0,38.0,0.07,32.0,31.0,14.0,0.2,0.2,0.39,0.3,47.0,52.0,52.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.09,54.0,62.0,51.0,0.1,0.09,0.13,1.1338345929579903
197,2019,IA,Walter Scott Jr. Energy Center,1082,MidAmerican Energy Co,19,155.0,41.18,-95.8408,COAL,0.51429,1778.9,7982215.3,2855,1201,3 miles,64.0,58.0,43.0,0.18,72.0,63.0,33.0,0.14,0.2,0.39,0.28,53.0,48.0,48.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.12,79.0,70.0,59.0,0.08,0.09,0.13,214.90774327335293
198,2019,AZ,Springerville Generating Station,8223,Tucson Electric Power Co,4,1.0,34.3186,-109.1639,COAL,0.41621,2179.2,7900771.1,0,0,3 miles,,,,,,,,0.45,0.6,0.39,,,,,0.36,0.33,0.33,,,,,0.04,0.08,0.04,,,,,0.13,0.16,0.13,639.519694848034
199,2019,CO,Craig,6021,"Tri-State G & T Assn, Inc",8,81.0,40.4627,-107.5912,COAL,0.63366,1427.6,7905116.1,358,143,3 miles,50.0,55.0,43.0,0.06,5.0,13.0,13.0,0.32,0.25,0.39,0.32,66.0,64.0,55.0,0.27,0.28,0.33,0.0,46.0,55.0,45.0,0.03,0.02,0.04,0.05,48.0,45.0,29.0,0.09,0.08,0.13,96.10250391325351
200,2019,NC,Marshall,2727,"Duke Energy Carolinas, LLC",37,35.0,35.5975,-80.9658,COAL,0.4195,2119.0,7764610.5,7437,2916,3 miles,12.0,13.0,11.0,0.08,12.0,14.0,17.0,0.37,0.39,0.39,0.17,18.0,17.0,27.0,0.36,0.36,0.33,0.0,52.0,51.0,45.0,0.02,0.03,0.04,0.05,25.0,23.0,29.0,0.13,0.13,0.13,303.6037196659312
202,2019,WI,Elm Road Generating Station,56068,Wisconsin Electric Power Co,55,79.0,42.8492,-87.8336,COAL,0.61675,1402.6,7558456.1,8419,3245,3 miles,27.0,30.0,22.0,0.21,73.0,60.0,38.0,0.18,0.25,0.39,0.12,17.0,18.0,17.0,0.28,0.3,0.33,0.0,61.0,59.0,45.0,0.02,0.02,0.04,0.07,51.0,45.0,38.0,0.08,0.1,0.13,2.1410975611946554
203,2019,UT,Intermountain,6481,Los Angeles Department of Water & Power,49,27.0,39.509731,-112.58018,COAL,0.34807,2480.0,7539612.18,0,0,3 miles,,,,,,,,0.21,0.25,0.39,,,,,0.28,0.28,0.33,,,,,0.02,0.02,0.04,,,,,0.08,0.08,0.13,862.1120390616613
206,2019,WA,Centralia,3845,TransAlta Centralia Gen LLC,53,41.0,46.755938,-122.859764,COAL,0.4584,1781.8,7146271.6,871,330,3 miles,58.0,59.0,47.0,0.05,3.0,5.0,10.0,0.31,0.28,0.39,0.45,83.0,81.0,74.0,0.27,0.3,0.33,0.0,43.0,47.0,45.0,0.04,0.03,0.04,0.12,75.0,73.0,60.0,0.09,0.09,0.13,331.8034450720351
207,2019,NC,Belews Creek,8042,"Duke Energy Carolinas, LLC",37,169.0,36.2811,-80.0603,COAL,0.32643,2491.2,7071307.8,1606,629,3 miles,40.0,39.0,42.0,0.23,38.0,39.0,41.0,0.37,0.39,0.39,0.35,52.0,51.0,61.0,0.36,0.36,0.33,0.0,52.0,51.0,45.0,0.02,0.03,0.04,0.12,54.0,53.0,60.0,0.13,0.13,0.13,702.0319427022466
