,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Plant FIPS state code,Plant FIPS county code,Latitude,Longitude,Plant primary coal/oil/gas/ other fossil fuel category,Plant capacity factor,Plant nameplate capacity (MW),Plant annual coal net generation (MWh),total population (ACS2018),Total Households,Buffer distance,State percentile for EJ Index for Particulate Matter (PxM 2.5),Regional percentile for EJ Index for Particulate Matter (PM 2.5),National percentile for EJ Index for Particulate Matter (PM 2.5),Raw data for People of Color Population,State percentile for People of Color Population,Regional percentile for People of Color Population,National percentile for People of Color Population,State average for People of Color Population,Regional average for People of Color Population,National average for People of Color Population,Raw data for Low Income Population,State percentile for Low Income Population,Regional percentile for Low Income Population,National percentile for Low Income Population,State average for Low Income Population,Regional average for Low Income Population,National average for Low Income Population,Raw data for Linguistically Isolated Population,State percentile for Linguistically Isolated Population,Regional percentile for Linguistically Isolated Population,National percentile for Linguistically Isolated Population,State average for Linguistically Isolated Population,Regional average for Linguistically Isolated Population,National average for Linguistically Isolated Population,Raw data for Population with Less Than High School Education,State percentile for Population with Less Than High School Education,Regional percentile for Population with Less Than High School Education,National percentile for Population with Less Than High School Education,State average for Population with Less Than High School Education,Regional average for Population with Less Than High School Education,National average for Population with Less Than High School Education,PM 2.5 Emssions (tons)
421,2019,WV,Pleasants Power Station,6004,Allegheny Energy Supply Co LLC,54,73.0,39.366667,-81.294444,COAL,0.41433,1368.0,4941281.3,1833,751,3 miles,42.0,46.0,36.0,0.02,35.0,9.0,5.0,0.08,0.33,0.39,0.37,48.0,73.0,64.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.08,31.0,51.0,46.0,0.13,0.1,0.13,0.2675915526991552
426,2019,UT,Huntington,8069,PacifiCorp,49,15.0,39.3792,-111.0781,COAL,0.53897,1037.3,4893984.6,65,21,3 miles,66.0,62.0,48.0,0.1,28.0,28.0,22.0,0.21,0.25,0.39,0.3,59.0,60.0,52.0,0.28,0.28,0.33,0.0,53.0,55.0,45.0,0.02,0.02,0.04,0.06,54.0,53.0,36.0,0.08,0.08,0.13,163.98351153019712
431,2019,MN,Boswell Energy Center,1893,"ALLETE, Inc.",27,61.0,47.2611,-93.6528,COAL,0.51169,1073.3,4800703.801,2259,873,3 miles,60.0,55.0,42.0,0.08,33.0,32.0,16.0,0.2,0.25,0.39,0.29,68.0,55.0,51.0,0.25,0.3,0.33,0.0,55.0,59.0,45.0,0.02,0.02,0.04,0.05,45.0,32.0,27.0,0.07,0.1,0.13,923.0730254916283
444,2019,NM,San Juan,2451,Public Service Co of NM,35,45.0,36.8006,-108.4386,COAL,0.29132,1848.0,4686468.7,111,34,3 miles,37.0,49.0,65.0,0.6,46.0,60.0,73.0,0.62,0.52,0.39,0.33,38.0,48.0,58.0,0.42,0.37,0.33,0.04,56.0,59.0,68.0,0.05,0.06,0.04,0.09,37.0,37.0,47.0,0.15,0.16,0.13,26.93717247791465
485,2019,ND,Milton R Young,2823,"Minnkota Power Coop, Inc",38,65.0,47.065854,-101.213093,COAL,0.73177,734.0,4689030.6,29,13,3 miles,71.0,60.0,46.0,0.1,54.0,28.0,22.0,0.15,0.25,0.39,0.28,63.0,57.0,49.0,0.26,0.28,0.33,0.0,60.0,55.0,45.0,0.01,0.02,0.04,0.11,78.0,74.0,57.0,0.08,0.08,0.13,1147.4894551023904
486,2019,WY,Dave Johnston,4158,PacifiCorp,56,9.0,42.8378,-105.7769,COAL,0.58011,922.2,4678988.7,159,61,3 miles,43.0,48.0,38.0,0.04,12.0,8.0,9.0,0.16,0.25,0.39,0.24,47.0,49.0,42.0,0.28,0.28,0.33,0.0,71.0,55.0,45.0,0.01,0.02,0.04,0.14,89.0,82.0,67.0,0.07,0.08,0.13,531.3439455729084
492,2019,OK,Northeastern,2963,Public Service Co of Oklahoma,40,131.0,36.4317,-95.7008,COAL,0.27151,1950.5,2279468.3,3069,1106,3 miles,32.0,27.0,39.0,0.27,43.0,26.0,46.0,0.34,0.52,0.39,0.35,47.0,50.0,60.0,0.37,0.37,0.33,0.02,68.0,44.0,53.0,0.02,0.06,0.04,0.1,50.0,43.0,55.0,0.12,0.16,0.13,276.03837237688435
493,2019,IN,Merom,6213,"Hoosier Energy R E C, Inc",18,153.0,39.0694,-87.5108,COAL,0.48525,1080.0,4584911.2,507,184,3 miles,28.0,24.0,17.0,0.03,16.0,12.0,6.0,0.21,0.25,0.39,0.24,40.0,46.0,42.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.02,11.0,17.0,14.0,0.11,0.1,0.13,30.238970415738283
494,2019,TX,Welsh Power Plant,6139,Southwestern Electric Power Co,48,449.0,33.05522,-94.839993,COAL,0.30992,1674.0,4535993.2,922,370,3 miles,31.0,33.0,48.0,0.33,25.0,33.0,52.0,0.58,0.52,0.39,0.32,49.0,45.0,55.0,0.35,0.37,0.33,0.07,61.0,70.0,77.0,0.08,0.06,0.04,0.1,41.0,41.0,52.0,0.17,0.16,0.13,28.762994719133147
512,2019,WV,Mount Storm Power Station,3954,Virginia Electric & Power Co,54,23.0,39.2008,-79.2636,COAL,0.30786,1680.9,4511310.1,215,82,3 miles,63.0,57.0,46.0,0.02,36.0,10.0,5.0,0.08,0.33,0.39,0.32,35.0,65.0,56.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.23,88.0,90.0,84.0,0.13,0.1,0.13,760.6491749031798
513,2019,IL,Joppa Steam,887,Electric Energy Inc,17,127.0,37.2094,-88.858889,COAL,0.45802,1099.8,4364289.9,1034,358,3 miles,46.0,54.0,40.0,0.06,15.0,27.0,14.0,0.38,0.25,0.39,0.38,69.0,68.0,64.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.17,77.0,83.0,74.0,0.11,0.1,0.13,300.68734618733976
530,2019,WI,Weston,4078,Wisconsin Public Service Corp,55,73.0,44.8606,-89.6553,COAL,0.43262,1163.4,4384506.3,11452,4470,3 miles,10.0,14.0,10.0,0.06,33.0,26.0,13.0,0.18,0.25,0.39,0.17,29.0,29.0,27.0,0.28,0.3,0.33,0.0,61.0,59.0,45.0,0.02,0.02,0.04,0.03,26.0,24.0,20.0,0.08,0.1,0.13,62.6551863021573
542,2019,IN,Alcoa Allowance Management Inc,6705,AGC Division of APG Inc,18,173.0,37.915,-87.3328,COAL,0.58472,822.8,4193419.0,1342,530,3 miles,17.0,12.0,9.0,0.05,28.0,23.0,11.0,0.21,0.25,0.39,0.15,21.0,26.0,24.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.08,43.0,52.0,44.0,0.11,0.1,0.13,489.1066734938845
544,2019,TN,Gallatin,3403,Tennessee Valley Authority,47,165.0,36.3156,-86.4006,COAL,0.24742,1918.4,4049090.0,4834,1728,3 miles,3.0,2.0,1.0,0.09,36.0,17.0,20.0,0.26,0.39,0.39,0.18,20.0,20.0,30.0,0.36,0.36,0.33,0.03,82.0,68.0,61.0,0.02,0.03,0.04,0.08,35.0,38.0,46.0,0.13,0.13,0.13,188.78926566284736
566,2019,AR,John W. Turk Jr. Power Plant,56564,Southwestern Electric Power Co,5,57.0,33.649722,-93.811944,COAL,0.7526,609.0,4011633.8,450,200,3 miles,68.0,47.0,63.0,0.36,71.0,37.0,55.0,0.27,0.52,0.39,0.43,57.0,63.0,71.0,0.4,0.37,0.33,0.02,75.0,44.0,53.0,0.02,0.06,0.04,0.1,37.0,41.0,52.0,0.14,0.16,0.13,16.85147552379815
580,2019,IN,Edwardsport Generating Station,1004,"Duke Energy Indiana, LLC",18,83.0,38.8067,-87.2472,COAL,0.47913,948.7,3000140.11,560,234,3 miles,62.0,58.0,44.0,0.02,12.0,8.0,4.0,0.21,0.25,0.39,0.32,54.0,59.0,55.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.1,54.0,63.0,54.0,0.11,0.1,0.13,32.70219520293931
584,2019,OH,W H Sammis,2866,FirstEnergy Generation Corp,39,81.0,40.5317,-80.6319,COAL,0.18302,2468.1,3939201.1,4124,1617,3 miles,50.0,44.0,32.0,0.02,13.0,9.0,4.0,0.21,0.25,0.39,0.35,61.0,64.0,60.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.16,80.0,80.0,70.0,0.1,0.1,0.13,4851.409527671396
609,2019,AR,Plum Point Energy Station,56456,NRG Energy Services - Plum Point,5,93.0,35.6644,-89.9489,COAL,0.62541,720.0,3933048.2,2727,1111,3 miles,89.0,71.0,82.0,0.74,92.0,70.0,80.0,0.27,0.52,0.39,0.61,84.0,84.0,89.0,0.4,0.37,0.33,0.0,69.0,36.0,45.0,0.02,0.06,0.04,0.24,86.0,76.0,85.0,0.14,0.16,0.13,213.23445524663762
620,2019,MI,St. Clair,1743,DTE Electric Company,26,147.0,42.7642,-82.4719,COAL,0.2309,1928.6,3837220.187,4265,1886,3 miles,37.0,41.0,30.0,0.04,14.0,17.0,8.0,0.25,0.25,0.39,0.27,47.0,52.0,47.0,0.33,0.3,0.33,0.0,64.0,60.0,45.0,0.02,0.02,0.04,0.08,52.0,52.0,44.0,0.09,0.1,0.13,10.100781233511498
623,2019,FL,Big Bend,645,Tampa Electric Co,12,57.0,27.7944,-82.4036,COAL,0.13422,3308.4,1121880.3,23121,8604,3 miles,54.0,60.0,64.0,0.38,47.0,56.0,57.0,0.46,0.39,0.39,0.25,35.0,33.0,44.0,0.35,0.36,0.33,0.02,38.0,61.0,54.0,0.07,0.03,0.04,0.09,46.0,40.0,48.0,0.12,0.13,0.13,111.21117591776307
626,2019,MO,Sioux,2107,Union Electric Co - (MO),29,183.0,38.915479,-90.290247,COAL,0.40345,1099.4,3881449.7,2201,881,3 miles,17.0,14.0,9.0,0.05,24.0,23.0,11.0,0.2,0.2,0.39,0.23,34.0,37.0,38.0,0.33,0.31,0.33,0.0,72.0,66.0,45.0,0.01,0.02,0.04,0.06,36.0,43.0,35.0,0.1,0.09,0.13,397.1299121213473
628,2019,FL,Northside,667,JEA,12,31.0,30.4172,-81.5525,COAL,0.31463,1407.1,693367.08,3412,1188,3 miles,18.0,22.0,21.0,0.27,34.0,45.0,46.0,0.46,0.39,0.39,0.25,35.0,32.0,44.0,0.35,0.36,0.33,0.01,30.0,52.0,46.0,0.07,0.03,0.04,0.08,42.0,38.0,45.0,0.12,0.13,0.13,345.42746740544237
630,2019,WI,South Oak Creek,4041,Wisconsin Electric Power Co,55,79.0,42.8457,-87.8294,COAL,0.34493,1259.6,3790172.2,8956,3465,3 miles,27.0,31.0,22.0,0.19,71.0,58.0,36.0,0.18,0.25,0.39,0.12,17.0,19.0,18.0,0.28,0.3,0.33,0.0,61.0,59.0,45.0,0.02,0.02,0.04,0.07,54.0,47.0,40.0,0.08,0.1,0.13,2.621782433082502
632,2019,IA,Ottumwa,6254,Interstate Power and Light Co,19,179.0,41.0961,-92.555833,COAL,0.59613,725.9,3781463.5,337,123,3 miles,39.0,40.0,30.0,0.01,7.0,4.0,2.0,0.14,0.2,0.39,0.11,12.0,14.0,15.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.04,34.0,29.0,24.0,0.08,0.09,0.13,47.69467061252696
634,2019,UT,Bonanza,7790,Deseret Generation & Tran Coop,49,47.0,40.0864,-109.2844,COAL,0.70009,609.5,3735202.5,0,0,3 miles,,,,,,,,0.21,0.25,0.39,,,,,0.28,0.28,0.33,,,,,0.02,0.02,0.04,,,,,0.08,0.08,0.13,514.0969364850382
635,2019,TX,Harrington Station,6193,Southwestern Public Service Co,48,375.0,35.29816,-101.747187,COAL,0.39481,1080.0,3677455.5,669,259,3 miles,40.0,45.0,61.0,0.29,21.0,28.0,48.0,0.58,0.52,0.39,0.37,56.0,54.0,63.0,0.35,0.37,0.33,0.04,47.0,57.0,66.0,0.08,0.06,0.04,0.08,35.0,34.0,44.0,0.17,0.16,0.13,65.8549883971628
636,2019,OK,Sooner,6095,Oklahoma Gas & Electric Co,40,103.0,36.45307,-97.05279,COAL,0.19736,2088.0,3599758.4,249,89,3 miles,79.0,55.0,70.0,0.54,85.0,54.0,69.0,0.34,0.52,0.39,0.4,57.0,58.0,67.0,0.37,0.37,0.33,0.01,60.0,39.0,48.0,0.02,0.06,0.04,0.12,59.0,49.0,61.0,0.12,0.16,0.13,545.4824481158835
638,2019,ND,Leland Olds,2817,Basin Electric Power Coop,38,57.0,47.280769,-101.321213,COAL,0.6274,656.0,3601781.742,41,20,3 miles,34.0,36.0,28.0,0.03,11.0,4.0,6.0,0.15,0.25,0.39,0.15,28.0,26.0,23.0,0.26,0.28,0.33,0.02,81.0,71.0,56.0,0.01,0.02,0.04,0.08,63.0,65.0,47.0,0.08,0.08,0.13,1292.8610374524133
639,2019,OH,W H Zimmer Generating Station,6019,Dynegy W H Zimmer,39,25.0,38.8675,-84.2289,COAL,0.28421,1425.6,3499583.85,1808,659,3 miles,36.0,30.0,22.0,0.03,17.0,12.0,6.0,0.21,0.25,0.39,0.27,47.0,50.0,46.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.14,74.0,75.0,65.0,0.1,0.1,0.13,613.6898228698078
641,2019,PR,AES Puerto Rico,61082,AES Puerto Rico LP,72,57.0,17.947115,-66.1499,COAL,0.79065,510.0,3532311.0,16190,4997,3 miles,,,,0.99,22.0,,,0.99,,,0.82,64.0,,,0.73,,,0.81,79.0,,,0.69,,,0.22,46.0,,,0.25,,,232.51208729002164
648,2019,IN,Cayuga,1001,"Duke Energy Indiana, LLC",18,165.0,39.9242,-87.4244,COAL,0.33853,1184.9,3500084.2,1750,658,3 miles,54.0,49.0,37.0,0.02,16.0,11.0,5.0,0.21,0.25,0.39,0.33,57.0,62.0,58.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.09,48.0,58.0,50.0,0.11,0.1,0.13,496.048561950351
650,2019,IA,Louisa,6664,MidAmerican Energy Co,19,115.0,41.3181,-91.0931,COAL,0.47051,811.9,3321280.08,1070,420,3 miles,50.0,47.0,36.0,0.09,54.0,42.0,20.0,0.14,0.2,0.39,0.27,52.0,47.0,47.0,0.29,0.31,0.33,0.0,66.0,66.0,45.0,0.02,0.02,0.04,0.15,85.0,79.0,67.0,0.08,0.09,0.13,84.40427838962947
657,2019,TN,Kingston,3407,Tennessee Valley Authority,47,145.0,35.8992,-84.5194,COAL,0.22294,1700.0,3307247.2,10638,4510,3 miles,46.0,34.0,36.0,0.1,37.0,17.0,20.0,0.26,0.39,0.39,0.34,47.0,48.0,58.0,0.36,0.36,0.33,0.0,67.0,51.0,45.0,0.02,0.03,0.04,0.13,55.0,57.0,63.0,0.13,0.13,0.13,346.31358747362407
659,2019,LA,Big Cajun 2,6055,Louisiana Generating LLC,22,77.0,30.7261,-91.3692,COAL,0.14195,2632.9,1785689.53,695,253,3 miles,25.0,20.0,28.0,0.26,41.0,24.0,44.0,0.41,0.52,0.39,0.13,8.0,15.0,19.0,0.39,0.37,0.33,0.0,62.0,36.0,45.0,0.02,0.06,0.04,0.1,37.0,42.0,54.0,0.15,0.16,0.13,34.839552870240155
660,2019,TX,Coleto Creek,6178,Coleto Creek Power LP,48,175.0,28.7128,-97.214167,COAL,0.59164,622.4,3224597.29,737,262,3 miles,25.0,27.0,39.0,0.31,23.0,31.0,50.0,0.58,0.52,0.39,0.23,34.0,30.0,39.0,0.35,0.37,0.33,0.01,28.0,38.0,47.0,0.08,0.06,0.04,0.03,15.0,14.0,18.0,0.17,0.16,0.13,148.53351418173935
665,2019,IL,E D Edwards,856,Illinois Power Resources Generating LLC,17,143.0,40.5958,-89.6631,COAL,0.46998,780.3,3206908.6,24024,10245,3 miles,31.0,35.0,26.0,0.04,10.0,18.0,9.0,0.38,0.25,0.39,0.34,64.0,62.0,58.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.1,59.0,64.0,54.0,0.11,0.1,0.13,94.42330390231453
668,2019,IL,Newton,6017,Illinois Power Generating Co,17,79.0,38.9361,-88.2781,COAL,0.29594,1234.8,3197182.568,249,89,3 miles,30.0,34.0,25.0,0.01,2.0,4.0,2.0,0.38,0.25,0.39,0.04,4.0,3.0,4.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.05,32.0,33.0,28.0,0.11,0.1,0.13,286.16406041849166
688,2019,KY,East Bend,6018,Duke Energy Kentucky Inc,21,15.0,38.9036,-84.8514,COAL,0.46808,772.0,3156562.9,1763,683,3 miles,28.0,22.0,22.0,0.05,34.0,9.0,11.0,0.15,0.39,0.39,0.23,27.0,28.0,39.0,0.38,0.36,0.33,0.0,73.0,51.0,45.0,0.01,0.03,0.04,0.13,52.0,59.0,64.0,0.14,0.13,0.13,569.1718831371486
690,2019,IL,Kincaid Generating Station,876,Dynegy Kincaid Generation,17,21.0,39.590556,-89.496389,COAL,0.26959,1319.0,3109175.0,532,229,3 miles,49.0,58.0,44.0,0.02,6.0,10.0,5.0,0.38,0.25,0.39,0.37,68.0,67.0,63.0,0.29,0.3,0.33,0.01,47.0,63.0,48.0,0.05,0.02,0.04,0.12,65.0,70.0,60.0,0.11,0.1,0.13,38.21028358597923
691,2019,MO,Hawthorn,2079,Evergy Metro,29,95.0,39.1306,-94.4778,COAL,0.33741,1046.2,2899680.9,26455,10221,3 miles,90.0,92.0,74.0,0.49,87.0,89.0,65.0,0.2,0.2,0.39,0.61,90.0,91.0,89.0,0.33,0.31,0.33,0.1,97.0,94.0,84.0,0.01,0.02,0.04,0.28,95.0,95.0,89.0,0.1,0.09,0.13,120.18794755194521
694,2019,TX,H W Pirkey Power Plant,7902,Southwestern Electric Power Co,48,203.0,32.4607,-94.4852,COAL,0.48625,721.0,3060229.7,236,76,3 miles,36.0,40.0,56.0,0.27,18.0,25.0,45.0,0.58,0.52,0.39,0.38,57.0,55.0,64.0,0.35,0.37,0.33,0.0,26.0,36.0,45.0,0.08,0.06,0.04,0.1,42.0,41.0,53.0,0.17,0.16,0.13,65.23245383265775
697,2019,WY,Naughton,4162,PacifiCorp,56,23.0,41.7581,-110.5983,COAL,0.38976,832.0,2813174.1,402,174,3 miles,26.0,37.0,28.0,0.12,45.0,32.0,24.0,0.16,0.25,0.39,0.21,39.0,42.0,36.0,0.28,0.28,0.33,0.02,82.0,73.0,59.0,0.01,0.02,0.04,0.07,55.0,57.0,39.0,0.07,0.08,0.13,60.69638364531069
703,2019,AZ,Cholla,113,Arizona Public Service Co,4,17.0,34.9394,-110.3033,COAL,0.28142,1128.8,2778635.8,1374,429,3 miles,50.0,35.0,57.0,0.38,48.0,26.0,57.0,0.45,0.6,0.39,0.31,48.0,53.0,54.0,0.36,0.33,0.33,0.02,53.0,30.0,57.0,0.04,0.08,0.04,0.04,24.0,20.0,23.0,0.13,0.16,0.13,222.1204995686493
724,2019,TX,Tolk Station,6194,Southwestern Public Service Co,48,279.0,34.186494,-102.56999,COAL,0.27556,1135.8,2704226.4,17,6,3 miles,47.0,53.0,68.0,0.55,47.0,55.0,69.0,0.58,0.52,0.39,0.43,64.0,63.0,72.0,0.35,0.37,0.33,0.08,65.0,73.0,80.0,0.08,0.06,0.04,0.25,73.0,77.0,86.0,0.17,0.16,0.13,40.37334487408171
725,2019,IL,Coffeen,861,Illinois Power Generating Co,17,135.0,39.0586,-89.4031,COAL,0.30456,1005.4,2676921.041,940,378,3 miles,48.0,56.0,43.0,0.07,16.0,28.0,14.0,0.38,0.25,0.39,0.45,77.0,77.0,74.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.19,81.0,86.0,77.0,0.11,0.1,0.13,29.84869853537923
737,2019,FL,Crist Electric Generating Plant,641,Gulf Power Co,12,33.0,30.5661,-87.2244,COAL,0.24786,1228.8,2565318.9,21040,7676,3 miles,31.0,37.0,39.0,0.25,32.0,42.0,44.0,0.46,0.39,0.39,0.32,48.0,45.0,56.0,0.35,0.36,0.33,0.01,34.0,57.0,50.0,0.07,0.03,0.04,0.05,24.0,21.0,27.0,0.12,0.13,0.13,328.8426359217402
738,2019,KY,D B Wilson,6823,Big Rivers Electric Corp,21,183.0,37.4497,-87.0806,COAL,0.5915,509.4,2627690.0,342,127,3 miles,44.0,33.0,34.0,0.07,44.0,13.0,15.0,0.15,0.39,0.39,0.36,49.0,52.0,62.0,0.38,0.36,0.33,0.02,81.0,63.0,56.0,0.01,0.03,0.04,0.14,56.0,62.0,67.0,0.14,0.13,0.13,4.712833482226002
739,2019,SD,Big Stone,6098,Otter Tail Power Co,46,51.0,45.303652,-96.510067,COAL,0.66293,451.0,2617071.3,964,492,3 miles,65.0,65.0,49.0,0.07,34.0,16.0,15.0,0.18,0.25,0.39,0.33,62.0,66.0,57.0,0.31,0.28,0.33,0.0,66.0,55.0,45.0,0.01,0.02,0.04,0.11,72.0,74.0,57.0,0.08,0.08,0.13,31.880755153699962
742,2019,TX,Oklaunion Power Station,127,Public Service Co of Oklahoma,48,487.0,34.0825,-99.1753,COAL,0.41253,720.0,2595885.9,44,17,3 miles,24.0,25.0,36.0,0.13,5.0,9.0,26.0,0.58,0.52,0.39,0.23,35.0,31.0,40.0,0.35,0.37,0.33,0.0,26.0,36.0,45.0,0.08,0.06,0.04,0.1,43.0,43.0,54.0,0.17,0.16,0.13,52.43784598529505
754,2019,PA,"Brunner Island, LLC",3140,Brunner Island LLC,42,133.0,40.096111,-76.6962,COAL,0.18187,1624.2,1412772.9,13853,5471,3 miles,30.0,21.0,16.0,0.08,39.0,25.0,17.0,0.23,0.33,0.39,0.25,49.0,52.0,43.0,0.29,0.27,0.33,0.0,58.0,55.0,45.0,0.02,0.03,0.04,0.13,72.0,69.0,62.0,0.1,0.1,0.13,747.5750494922952
796,2019,OR,Boardman,6106,Portland General Electric Co,41,49.0,45.693182,-119.808819,COAL,0.45754,642.2,2569159.5,0,0,3 miles,,,,,,,,0.24,0.28,0.39,,,,,0.33,0.3,0.33,,,,,0.03,0.03,0.04,,,,,0.1,0.09,0.13,395.4398449658573
798,2019,CO,Hayden,525,Public Service Co of Colorado,8,107.0,40.4856,-107.185,COAL,0.63058,465.4,2568567.2,144,65,3 miles,45.0,50.0,39.0,0.07,7.0,17.0,16.0,0.32,0.25,0.39,0.2,45.0,39.0,34.0,0.27,0.28,0.33,0.0,46.0,55.0,45.0,0.03,0.02,0.04,0.03,36.0,33.0,20.0,0.09,0.08,0.13,325.60196457984193
799,2019,WY,Dry Fork Station,56609,Basin Electric Power Coop,56,5.0,44.388889,-105.460833,COAL,0.60548,483.7,2561900.2,47,17,3 miles,2.0,14.0,10.0,0.06,20.0,14.0,13.0,0.16,0.25,0.39,0.26,51.0,53.0,45.0,0.28,0.28,0.33,0.0,71.0,55.0,45.0,0.01,0.02,0.04,0.06,46.0,51.0,33.0,0.07,0.08,0.13,3.1232203546778043
800,2019,SC,Williams,3298,"South Carolina Genertg Co, Inc",45,15.0,33.0158,-79.9297,COAL,0.40916,713.5,2546262.5,122,34,3 miles,32.0,29.0,30.0,0.25,38.0,41.0,43.0,0.36,0.39,0.39,0.13,10.0,11.0,19.0,0.36,0.36,0.33,0.0,63.0,51.0,45.0,0.01,0.03,0.04,0.08,38.0,36.0,44.0,0.13,0.13,0.13,1364.4399699951964
801,2019,CO,Pawnee,6248,Public Service Co of Colorado,8,87.0,40.2217,-103.6803,COAL,0.51882,552.3,2503799.9,783,295,3 miles,55.0,60.0,46.0,0.27,51.0,66.0,45.0,0.32,0.25,0.39,0.25,54.0,50.0,42.0,0.27,0.28,0.33,0.04,77.0,82.0,69.0,0.03,0.02,0.04,0.16,81.0,84.0,70.0,0.09,0.08,0.13,175.40906656678348
802,2019,IN,A B Brown Generating Station,6137,Southern Indiana Gas & Elec Co,18,129.0,37.9053,-87.715,COAL,0.39892,706.8,2426914.1,1411,556,3 miles,42.0,37.0,27.0,0.02,12.0,8.0,4.0,0.21,0.25,0.39,0.25,40.0,46.0,42.0,0.33,0.3,0.33,0.0,65.0,59.0,45.0,0.02,0.02,0.04,0.08,44.0,54.0,46.0,0.11,0.1,0.13,347.31181931787796
811,2019,KS,Lawrence Energy Center,1250,"Evergy Kansas Central, Inc",20,45.0,39.0072,-95.269167,COAL,0.45768,604.0,2385153.1,25743,10962,3 miles,26.0,30.0,22.0,0.17,51.0,63.0,33.0,0.24,0.2,0.39,0.27,47.0,47.0,47.0,0.31,0.31,0.33,0.01,61.0,69.0,48.0,0.03,0.02,0.04,0.04,34.0,30.0,24.0,0.09,0.09,0.13,107.64174743202335
814,2019,TX,Twin Oaks,7030,"Major Oak Power, LLC",48,395.0,31.091925,-96.69503,COAL,0.29031,949.2,2409732.2,201,76,3 miles,30.0,32.0,47.0,0.17,9.0,14.0,32.0,0.58,0.52,0.39,0.28,43.0,39.0,49.0,0.35,0.37,0.33,0.0,26.0,36.0,45.0,0.08,0.06,0.04,0.14,52.0,53.0,65.0,0.17,0.16,0.13,428.16905939286653
819,2019,AR,Flint Creek Power Plant,6138,Southwestern Electric Power Co,5,7.0,36.2561,-94.5241,COAL,0.48626,558.0,2371680.3,6097,2283,3 miles,44.0,29.0,43.0,0.18,49.0,15.0,33.0,0.27,0.52,0.39,0.43,56.0,62.0,71.0,0.4,0.37,0.33,0.04,85.0,59.0,68.0,0.02,0.06,0.04,0.11,41.0,44.0,56.0,0.14,0.16,0.13,7.585130304918238
827,2019,MS,Red Hills Generation Facility,55076,"Choctaw Generation L.P, L.L.L.P.",28,19.0,33.3761,-89.2183,COAL,0.52597,513.7,2362539.23,432,170,3 miles,27.0,36.0,39.0,0.18,24.0,32.0,34.0,0.43,0.39,0.39,0.25,20.0,31.0,42.0,0.43,0.36,0.33,0.0,80.0,51.0,45.0,0.01,0.03,0.04,0.24,79.0,85.0,84.0,0.16,0.13,0.13,170.1311288964335
829,2019,KY,R D Green,6639,Big Rivers Electric Corp,21,233.0,37.6461,-87.5,COAL,0.45672,586.0,2332829.8,941,335,3 miles,61.0,44.0,47.0,0.16,68.0,28.0,31.0,0.15,0.39,0.39,0.42,58.0,62.0,70.0,0.38,0.36,0.33,0.03,85.0,68.0,61.0,0.01,0.03,0.04,0.16,60.0,66.0,70.0,0.14,0.13,0.13,432.8274676451215
830,2019,IL,Powerton,879,Midwest Generations EME LLC,17,179.0,40.5408,-89.6786,COAL,0.14926,1785.6,2326413.0,15229,6307,3 miles,38.0,44.0,33.0,0.08,18.0,32.0,17.0,0.38,0.25,0.39,0.32,60.0,59.0,55.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.12,67.0,72.0,62.0,0.11,0.1,0.13,811.9962103656297
836,2019,OH,Conesville,2840,AEP Generation Resources Inc,39,31.0,40.1842,-81.8811,COAL,0.12129,2174.8,2301454.1,1152,483,3 miles,55.0,48.0,36.0,0.0,5.0,3.0,1.0,0.21,0.25,0.39,0.37,63.0,67.0,63.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.08,53.0,55.0,46.0,0.1,0.1,0.13,2962.6362492400217
840,2019,IL,Duck Creek,6016,Illinois Power Resources Generating LLC,17,57.0,40.4663,-89.9841,COAL,0.58016,441.0,2236947.2,205,89,3 miles,43.0,51.0,38.0,0.03,6.0,11.0,5.0,0.38,0.25,0.39,0.38,69.0,68.0,64.0,0.29,0.3,0.33,0.0,44.0,59.0,45.0,0.05,0.02,0.04,0.13,67.0,72.0,62.0,0.11,0.1,0.13,46.5744044151903
