radius,geometry
3,"POLYGON ((845149.6088486663 5090419.832494938, 845126.365524313 5089946.703758567, 845056.8593971727 5089478.131510566, 844941.7598492457 5089018.62835783, 844782.1753520983 5088572.619566912, 844579.6427916759 5088144.400446279, 844336.1126672507 5087738.094980152, 844053.9303070483 5087357.61611228, 843735.8132814538 5087006.62806215, 843384.8252313242 5086688.511036556, 843004.3463634519 5086406.328676353, 842598.0408973254 5086162.798551928, 842169.8217766926 5085960.265991506, 841723.8129857735 5085800.681494358, 841264.3098330381 5085685.581946432, 840795.7375850371 5085616.075819291, 840322.6088486663 5085592.832494938, 839849.4801122955 5085616.075819291, 839380.9078642945 5085685.581946432, 838921.4047115591 5085800.681494358, 838475.39592064 5085960.265991506, 838047.1768000072 5086162.798551928, 837640.8713338807 5086406.328676353, 837260.3924660084 5086688.511036556, 836909.4044158788 5087006.62806215, 836591.2873902844 5087357.61611228, 836309.1050300819 5087738.094980152, 836065.5749056567 5088144.400446279, 835863.0423452343 5088572.619566912, 835703.457848087 5089018.62835783, 835588.3583001599 5089478.131510566, 835518.8521730197 5089946.703758567, 835495.6088486663 5090419.832494938, 835518.8521730197 5090892.961231309, 835588.3583001599 5091361.53347931, 835703.457848087 5091821.036632045, 835863.0423452343 5092267.045422964, 836065.5749056567 5092695.264543597, 836309.1050300819 5093101.570009723, 836591.2873902844 5093482.048877596, 836909.4044158788 5093833.036927725, 837260.3924660084 5094151.153953319, 837640.8713338807 5094433.336313522, 838047.1768000072 5094676.866437947, 838475.39592064 5094879.398998369, 838921.4047115591 5095038.983495518, 839380.9078642945 5095154.083043444, 839849.4801122955 5095223.589170584, 840322.6088486663 5095246.832494938, 840795.7375850371 5095223.589170584, 841264.3098330381 5095154.083043444, 841723.8129857735 5095038.983495518, 842169.8217766926 5094879.398998369, 842598.0408973254 5094676.866437947, 843004.3463634519 5094433.336313522, 843384.8252313242 5094151.153953319, 843735.8132814538 5093833.036927725, 844053.9303070483 5093482.048877596, 844336.1126672507 5093101.570009723, 844579.6427916759 5092695.264543597, 844782.1753520983 5092267.045422964, 844941.7598492457 5091821.036632045, 845056.8593971727 5091361.53347931, 845126.365524313 5090892.961231309, 845149.6088486663 5090419.832494938))"
10,"POLYGON ((856335.131100822 5088842.736707035, 856103.4440103542 5087280.829213698, 855719.7788505976 5085749.152037914, 855187.8305267729 5084262.456068183, 854512.7219920313 5082835.058999407, 853700.9549106143 5081480.707445652, 852760.3470432727 5080212.444552745, 851699.9569579578 5079042.484385646, 850529.9967908594 5077982.094300332, 849261.7338979517 5077041.48643299, 847907.3823441967 5076229.719351573, 846479.9852754206 5075554.610816831, 844993.2893056906 5075022.662493006, 843461.6121299058 5074638.99733325, 841899.7046365689 5074407.310242782, 840322.6088486663 5074329.832494938, 838745.5130607637 5074407.310242782, 837183.6055674268 5074638.99733325, 835651.928391642 5075022.662493006, 834165.232421912 5075554.610816831, 832737.835353136 5076229.719351573, 831383.483799381 5077041.48643299, 830115.2209064732 5077982.094300332, 828945.2607393748 5079042.484385646, 827884.8706540599 5080212.444552745, 826944.2627867183 5081480.707445652, 826132.4957053013 5082835.058999407, 825457.3871705597 5084262.456068183, 824925.438846735 5085749.152037914, 824541.7736869784 5087280.829213698, 824310.0865965106 5088842.736707035, 824232.6088486663 5090419.832494938, 824310.0865965106 5091996.92828284, 824541.7736869784 5093558.835776177, 824925.438846735 5095090.512951962, 825457.3871705597 5096577.208921692, 826132.4957053013 5098004.6059904685, 826944.2627867183 5099358.957544223, 827884.8706540599 5100627.220437131, 828945.2607393748 5101797.18060423, 830115.2209064732 5102857.570689544, 831383.483799381 5103798.178556886, 832737.835353136 5104609.945638303, 834165.232421912 5105285.054173045, 835651.928391642 5105817.002496869, 837183.6055674268 5106200.667656626, 838745.5130607637 5106432.354747093, 840322.6088486663 5106509.832494938, 841899.7046365689 5106432.354747093, 843461.6121299058 5106200.667656626, 844993.2893056906 5105817.002496869, 846479.9852754206 5105285.054173045, 847907.3823441966 5104609.945638303, 849261.7338979517 5103798.178556886, 850529.9967908594 5102857.570689544, 851699.9569579578 5101797.18060423, 852760.3470432727 5100627.220437131, 853700.9549106143 5099358.957544223, 854512.7219920313 5098004.6059904685, 855187.8305267729 5096577.208921692, 855719.7788505976 5095090.512951962, 856103.4440103542 5093558.835776177, 856335.131100822 5091996.92828284, 856412.6088486663 5090419.832494938, 856335.131100822 5088842.736707035), (845126.365524313 5090892.961231309, 845056.8593971727 5091361.53347931, 844941.7598492457 5091821.036632045, 844782.1753520983 5092267.045422964, 844579.6427916759 5092695.264543597, 844336.1126672507 5093101.570009723, 844053.9303070483 5093482.048877596, 843735.8132814538 5093833.036927725, 843384.8252313242 5094151.153953319, 843004.3463634519 5094433.336313522, 842598.0408973254 5094676.866437947, 842169.8217766926 5094879.398998369, 841723.8129857735 5095038.983495518, 841264.3098330381 5095154.083043444, 840795.7375850371 5095223.589170584, 840322.6088486663 5095246.832494938, 839849.4801122955 5095223.589170584, 839380.9078642945 5095154.083043444, 838921.4047115591 5095038.983495518, 838475.39592064 5094879.398998369, 838047.1768000072 5094676.866437947, 837640.8713338807 5094433.336313522, 837260.3924660084 5094151.153953319, 836909.4044158788 5093833.036927725, 836591.2873902844 5093482.048877596, 836309.1050300819 5093101.570009723, 836065.5749056567 5092695.264543597, 835863.0423452343 5092267.045422964, 835703.457848087 5091821.036632045, 835588.3583001599 5091361.53347931, 835518.8521730197 5090892.961231309, 835495.6088486663 5090419.832494938, 835518.8521730197 5089946.703758567, 835588.3583001599 5089478.131510566, 835703.457848087 5089018.62835783, 835863.0423452343 5088572.619566912, 836065.5749056567 5088144.400446279, 836309.1050300819 5087738.094980152, 836591.2873902844 5087357.61611228, 836909.4044158788 5087006.62806215, 837260.3924660084 5086688.511036556, 837640.8713338807 5086406.328676353, 838047.1768000072 5086162.798551928, 838475.39592064 5085960.265991506, 838921.4047115591 5085800.681494358, 839380.9078642945 5085685.581946432, 839849.4801122955 5085616.075819291, 840322.6088486663 5085592.832494938, 840795.7375850371 5085616.075819291, 841264.3098330381 5085685.581946432, 841723.8129857735 5085800.681494358, 842169.8217766926 5085960.265991506, 842598.0408973254 5086162.798551928, 843004.3463634519 5086406.328676353, 843384.8252313242 5086688.511036556, 843735.8132814538 5087006.62806215, 844053.9303070483 5087357.61611228, 844336.1126672507 5087738.094980152, 844579.6427916759 5088144.400446279, 844782.1753520983 5088572.619566912, 844941.7598492457 5089018.62835783, 845056.8593971727 5089478.131510566, 845126.365524313 5089946.703758567, 845149.6088486663 5090419.832494938, 845126.365524313 5090892.961231309))"
15,"POLYGON ((864341.3922268997 5088054.188813084, 863993.8615911982 5085711.327573079, 863418.3638515632 5083413.811809401, 862620.4413658262 5081183.767854806, 861607.7785637139 5079042.672251643, 860390.1279415883 5077011.144921009, 858979.2161405759 5075108.750581648, 857388.6310126036 5073353.810331001, 855633.6907619559 5071763.225203028, 853731.2964225945 5070352.313402016, 851699.7690919618 5069134.66277989, 849558.6734887977 5068121.999977778, 847328.6295342027 5067324.077492041, 845031.1137705256 5066748.579752406, 842688.2525305202 5066401.049116705, 840322.6088486663 5066284.832494938, 837956.9651668124 5066401.049116705, 835614.1039268071 5066748.579752406, 833316.5881631299 5067324.077492041, 831086.5442085349 5068121.999977778, 828945.4486053708 5069134.66277989, 826913.9212747383 5070352.313402016, 825011.5269353767 5071763.225203028, 823256.586684729 5073353.810331001, 821666.0015567567 5075108.750581648, 820255.0897557443 5077011.144921009, 819037.4391336187 5079042.672251643, 818024.7763315064 5081183.767854806, 817226.8538457694 5083413.811809401, 816651.3561061344 5085711.327573079, 816303.8254704329 5088054.188813084, 816187.6088486663 5090419.832494938, 816303.8254704329 5092785.476176792, 816651.3561061344 5095128.337416797, 817226.8538457694 5097425.853180475, 818024.7763315064 5099655.89713507, 819037.4391336187 5101796.992738233, 820255.0897557443 5103828.520068866, 821666.0015567567 5105730.914408227, 823256.586684729 5107485.854658875, 825011.5269353767 5109076.439786848, 826913.9212747382 5110487.35158786, 828945.4486053708 5111705.002209986, 831086.5442085349 5112717.665012098, 833316.5881631299 5113515.587497835, 835614.1039268071 5114091.0852374695, 837956.9651668124 5114438.615873171, 840322.6088486663 5114554.832494938, 842688.2525305202 5114438.615873171, 845031.1137705256 5114091.0852374695, 847328.6295342027 5113515.587497835, 849558.6734887977 5112717.665012098, 851699.7690919618 5111705.002209986, 853731.2964225943 5110487.35158786, 855633.6907619559 5109076.439786848, 857388.6310126036 5107485.854658875, 858979.2161405759 5105730.914408227, 860390.1279415883 5103828.520068866, 861607.7785637139 5101796.992738233, 862620.4413658262 5099655.89713507, 863418.3638515632 5097425.853180475, 863993.8615911982 5095128.337416797, 864341.3922268997 5092785.476176792, 864457.6088486663 5090419.832494938, 864341.3922268997 5088054.188813084), (856335.131100822 5091996.92828284, 856103.4440103542 5093558.835776177, 855719.7788505976 5095090.512951962, 855187.8305267729 5096577.208921692, 854512.7219920313 5098004.6059904685, 853700.9549106143 5099358.957544223, 852760.3470432727 5100627.220437131, 851699.9569579578 5101797.18060423, 850529.9967908594 5102857.570689544, 849261.7338979517 5103798.178556886, 847907.3823441966 5104609.945638303, 846479.9852754206 5105285.054173045, 844993.2893056906 5105817.002496869, 843461.6121299058 5106200.667656626, 841899.7046365689 5106432.354747093, 840322.6088486663 5106509.832494938, 838745.5130607637 5106432.354747093, 837183.6055674268 5106200.667656626, 835651.928391642 5105817.002496869, 834165.232421912 5105285.054173045, 832737.835353136 5104609.945638303, 831383.483799381 5103798.178556886, 830115.2209064732 5102857.570689544, 828945.2607393748 5101797.18060423, 827884.8706540599 5100627.220437131, 826944.2627867183 5099358.957544223, 826132.4957053013 5098004.6059904685, 825457.3871705597 5096577.208921692, 824925.438846735 5095090.512951962, 824541.7736869784 5093558.835776177, 824310.0865965106 5091996.92828284, 824232.6088486663 5090419.832494938, 824310.0865965106 5088842.736707035, 824541.7736869784 5087280.829213698, 824925.438846735 5085749.152037914, 825457.3871705597 5084262.456068183, 826132.4957053013 5082835.058999407, 826944.2627867183 5081480.707445652, 827884.8706540599 5080212.444552745, 828945.2607393748 5079042.484385646, 830115.2209064732 5077982.094300332, 831383.483799381 5077041.48643299, 832737.835353136 5076229.719351573, 834165.232421912 5075554.610816831, 835651.928391642 5075022.662493006, 837183.6055674268 5074638.99733325, 838745.5130607637 5074407.310242782, 840322.6088486663 5074329.832494938, 841899.7046365689 5074407.310242782, 843461.6121299058 5074638.99733325, 844993.2893056906 5075022.662493006, 846479.9852754206 5075554.610816831, 847907.3823441967 5076229.719351573, 849261.7338979517 5077041.48643299, 850529.9967908594 5077982.094300332, 851699.9569579578 5079042.484385646, 852760.3470432727 5080212.444552745, 853700.9549106143 5081480.707445652, 854512.7219920313 5082835.058999407, 855187.8305267729 5084262.456068183, 855719.7788505976 5085749.152037914, 856103.4440103542 5087280.829213698, 856335.131100822 5088842.736707035, 856412.6088486663 5090419.832494938, 856335.131100822 5091996.92828284))"
20,"POLYGON ((872347.6533529776 5087265.640919132, 871884.2791720423 5084141.825932459, 871116.9488525288 5081078.471580889, 870053.0522048795 5078105.079641429, 868702.8351353963 5075250.285503877, 867079.3009725622 5072541.582396367, 865198.0852378792 5070005.056610552, 863077.3050672495 5067665.136276355, 860737.3847330525 5065544.356105725, 858200.8589472371 5063663.140371042, 855492.1558397269 5062039.606208208, 852637.3617021749 5060689.389138725, 849663.9697627149 5059625.492491076, 846600.6154111453 5058858.162171562, 843476.8004244716 5058394.787990627, 840322.6088486663 5058239.832494938, 837168.417272861 5058394.787990627, 834044.6022861873 5058858.162171562, 830981.2479346177 5059625.492491076, 828007.8559951577 5060689.389138725, 825153.0618576057 5062039.606208208, 822444.3587500955 5063663.140371042, 819907.8329642802 5065544.356105725, 817567.9126300832 5067665.136276355, 815447.1324594534 5070005.056610552, 813565.9167247704 5072541.582396367, 811942.3825619363 5075250.285503877, 810592.1654924531 5078105.079641429, 809528.2688448038 5081078.471580889, 808760.9385252903 5084141.825932459, 808297.564344355 5087265.640919132, 808142.6088486663 5090419.832494938, 808297.564344355 5093574.0240707435, 808760.9385252903 5096697.839057417, 809528.2688448038 5099761.193408987, 810592.1654924531 5102734.585348447, 811942.3825619363 5105589.379485998, 813565.9167247704 5108298.082593509, 815447.1324594534 5110834.608379324, 817567.9126300832 5113174.528713521, 819907.8329642802 5115295.30888415, 822444.3587500955 5117176.524618833, 825153.0618576057 5118800.058781668, 828007.8559951577 5120150.275851151, 830981.2479346177 5121214.1724988, 834044.6022861872 5121981.502818313, 837168.417272861 5122444.876999249, 840322.6088486663 5122599.832494938, 843476.8004244715 5122444.876999249, 846600.6154111453 5121981.502818313, 849663.9697627149 5121214.1724988, 852637.3617021749 5120150.275851151, 855492.1558397269 5118800.058781668, 858200.8589472371 5117176.524618833, 860737.3847330525 5115295.30888415, 863077.3050672495 5113174.528713521, 865198.0852378792 5110834.608379324, 867079.3009725622 5108298.082593509, 868702.8351353963 5105589.379485998, 870053.0522048795 5102734.585348447, 871116.9488525288 5099761.193408987, 871884.2791720423 5096697.839057417, 872347.6533529776 5093574.0240707435, 872502.6088486663 5090419.832494938, 872347.6533529776 5087265.640919132), (864341.3922268997 5092785.476176792, 863993.8615911982 5095128.337416797, 863418.3638515632 5097425.853180475, 862620.4413658262 5099655.89713507, 861607.7785637139 5101796.992738233, 860390.1279415883 5103828.520068866, 858979.2161405759 5105730.914408227, 857388.6310126036 5107485.854658875, 855633.6907619559 5109076.439786848, 853731.2964225943 5110487.35158786, 851699.7690919618 5111705.002209986, 849558.6734887977 5112717.665012098, 847328.6295342027 5113515.587497835, 845031.1137705256 5114091.0852374695, 842688.2525305202 5114438.615873171, 840322.6088486663 5114554.832494938, 837956.9651668124 5114438.615873171, 835614.1039268071 5114091.0852374695, 833316.5881631299 5113515.587497835, 831086.5442085349 5112717.665012098, 828945.4486053708 5111705.002209986, 826913.9212747382 5110487.35158786, 825011.5269353767 5109076.439786848, 823256.586684729 5107485.854658875, 821666.0015567567 5105730.914408227, 820255.0897557443 5103828.520068866, 819037.4391336187 5101796.992738233, 818024.7763315064 5099655.89713507, 817226.8538457694 5097425.853180475, 816651.3561061344 5095128.337416797, 816303.8254704329 5092785.476176792, 816187.6088486663 5090419.832494938, 816303.8254704329 5088054.188813084, 816651.3561061344 5085711.327573079, 817226.8538457694 5083413.811809401, 818024.7763315064 5081183.767854806, 819037.4391336187 5079042.672251643, 820255.0897557443 5077011.144921009, 821666.0015567567 5075108.750581648, 823256.586684729 5073353.810331001, 825011.5269353767 5071763.225203028, 826913.9212747383 5070352.313402016, 828945.4486053708 5069134.66277989, 831086.5442085349 5068121.999977778, 833316.5881631299 5067324.077492041, 835614.1039268071 5066748.579752406, 837956.9651668124 5066401.049116705, 840322.6088486663 5066284.832494938, 842688.2525305202 5066401.049116705, 845031.1137705256 5066748.579752406, 847328.6295342027 5067324.077492041, 849558.6734887977 5068121.999977778, 851699.7690919618 5069134.66277989, 853731.2964225945 5070352.313402016, 855633.6907619559 5071763.225203028, 857388.6310126036 5073353.810331001, 858979.2161405759 5075108.750581648, 860390.1279415883 5077011.144921009, 861607.7785637139 5079042.672251643, 862620.4413658262 5081183.767854806, 863418.3638515632 5083413.811809401, 863993.8615911982 5085711.327573079, 864341.3922268997 5088054.188813084, 864457.6088486663 5090419.832494938, 864341.3922268997 5092785.476176792))"
30,"POLYGON ((888360.1756051333 5085688.54513123, 887665.1143337302 5081002.82265122, 886514.1188544601 5076407.791123865, 884918.2738829862 5071947.703214675, 882892.9482787614 5067665.512008347, 880457.6470345102 5063602.457347082, 877635.8234324856 5059797.668668359, 874454.653176541 5056287.788167063, 870944.7726752455 5053106.617911118, 867139.9839965225 5050284.794309094, 863076.9293352573 5047849.493064843, 858794.7381289292 5045824.167460618, 854334.6502197392 5044228.322489144, 849739.6186923848 5043077.327009873, 845053.8962123742 5042382.2657384705, 840322.6088486663 5042149.832494938, 835591.3214849584 5042382.2657384705, 830905.5990049478 5043077.327009873, 826310.5674775934 5044228.322489144, 821850.4795684034 5045824.167460618, 817568.2883620753 5047849.493064843, 813505.2337008101 5050284.794309094, 809700.4450220872 5053106.617911118, 806190.5645207916 5056287.788167063, 803009.394264847 5059797.668668359, 800187.5706628225 5063602.457347082, 797752.2694185713 5067665.512008347, 795726.9438143465 5071947.703214675, 794131.0988428725 5076407.791123865, 792980.1033636024 5081002.82265122, 792285.0420921993 5085688.54513123, 792052.6088486663 5090419.832494938, 792285.0420921993 5095151.119858646, 792980.1033636024 5099836.842338656, 794131.0988428725 5104431.87386601, 795726.9438143465 5108891.9617752, 797752.2694185713 5113174.152981529, 800187.5706628225 5117237.207642794, 803009.394264847 5121041.996321517, 806190.5645207916 5124551.8768228125, 809700.4450220871 5127733.047078758, 813505.2337008101 5130554.870680782, 817568.2883620753 5132990.1719250325, 821850.4795684034 5135015.497529258, 826310.5674775934 5136611.342500731, 830905.5990049478 5137762.337980002, 835591.3214849584 5138457.399251405, 840322.6088486663 5138689.832494938, 845053.8962123742 5138457.399251405, 849739.6186923848 5137762.337980002, 854334.6502197392 5136611.342500731, 858794.7381289292 5135015.497529258, 863076.9293352572 5132990.1719250325, 867139.9839965225 5130554.870680782, 870944.7726752455 5127733.047078758, 874454.653176541 5124551.8768228125, 877635.8234324856 5121041.996321517, 880457.6470345102 5117237.207642794, 882892.9482787614 5113174.152981529, 884918.273882986 5108891.9617752, 886514.1188544601 5104431.87386601, 887665.1143337302 5099836.842338656, 888360.1756051333 5095151.119858646, 888592.6088486663 5090419.832494938, 888360.1756051333 5085688.54513123), (872347.6533529776 5093574.0240707435, 871884.2791720423 5096697.839057417, 871116.9488525288 5099761.193408987, 870053.0522048795 5102734.585348447, 868702.8351353963 5105589.379485998, 867079.3009725622 5108298.082593509, 865198.0852378792 5110834.608379324, 863077.3050672495 5113174.528713521, 860737.3847330525 5115295.30888415, 858200.8589472371 5117176.524618833, 855492.1558397269 5118800.058781668, 852637.3617021749 5120150.275851151, 849663.9697627149 5121214.1724988, 846600.6154111453 5121981.502818313, 843476.8004244715 5122444.876999249, 840322.6088486663 5122599.832494938, 837168.417272861 5122444.876999249, 834044.6022861872 5121981.502818313, 830981.2479346177 5121214.1724988, 828007.8559951577 5120150.275851151, 825153.0618576057 5118800.058781668, 822444.3587500955 5117176.524618833, 819907.8329642802 5115295.30888415, 817567.9126300832 5113174.528713521, 815447.1324594534 5110834.608379324, 813565.9167247704 5108298.082593509, 811942.3825619363 5105589.379485998, 810592.1654924531 5102734.585348447, 809528.2688448038 5099761.193408987, 808760.9385252903 5096697.839057417, 808297.564344355 5093574.0240707435, 808142.6088486663 5090419.832494938, 808297.564344355 5087265.640919132, 808760.9385252903 5084141.825932459, 809528.2688448038 5081078.471580889, 810592.1654924531 5078105.079641429, 811942.3825619363 5075250.285503877, 813565.9167247704 5072541.582396367, 815447.1324594534 5070005.056610552, 817567.9126300832 5067665.136276355, 819907.8329642802 5065544.356105725, 822444.3587500955 5063663.140371042, 825153.0618576057 5062039.606208208, 828007.8559951577 5060689.389138725, 830981.2479346177 5059625.492491076, 834044.6022861873 5058858.162171562, 837168.417272861 5058394.787990627, 840322.6088486663 5058239.832494938, 843476.8004244716 5058394.787990627, 846600.6154111453 5058858.162171562, 849663.9697627149 5059625.492491076, 852637.3617021749 5060689.389138725, 855492.1558397269 5062039.606208208, 858200.8589472371 5063663.140371042, 860737.3847330525 5065544.356105725, 863077.3050672495 5067665.136276355, 865198.0852378792 5070005.056610552, 867079.3009725622 5072541.582396367, 868702.8351353963 5075250.285503877, 870053.0522048795 5078105.079641429, 871116.9488525288 5081078.471580889, 871884.2791720423 5084141.825932459, 872347.6533529776 5087265.640919132, 872502.6088486663 5090419.832494938, 872347.6533529776 5093574.0240707435))"
40,"POLYGON ((904372.6978572889 5084111.449343327, 903445.9494954182 5077863.81936998, 901911.2888563912 5071737.11066684, 899783.4955610927 5065790.326787921, 897083.0614221265 5060080.738512817, 893835.9930964581 5054663.332297796, 890073.5616270921 5049590.2807261655, 885832.0012858325 5044910.440057771, 881152.1606174385 5040668.879716512, 876079.109045808 5036906.448247146, 870661.7028307875 5033659.379921477, 864952.1145556835 5030958.9457825115, 859005.3306767636 5028831.152487213, 852878.6219736243 5027296.491848186, 846630.9920002768 5026369.743486315, 840322.6088486663 5026059.832494938, 834014.2256970558 5026369.743486315, 827766.5957237083 5027296.491848186, 821639.8870205691 5028831.152487213, 815693.1031416492 5030958.9457825115, 809983.5148665451 5033659.379921477, 804566.1086515248 5036906.448247146, 799493.0570798941 5040668.879716512, 794813.2164115001 5044910.440057771, 790571.6560702405 5049590.2807261655, 786809.2246008745 5054663.332297796, 783562.1562752061 5060080.738512817, 780861.7221362399 5065790.326787921, 778733.9288409414 5071737.11066684, 777199.2682019144 5077863.81936998, 776272.5198400437 5084111.449343327, 775962.6088486663 5090419.832494938, 776272.5198400437 5096728.215646548, 777199.2682019144 5102975.8456198955, 778733.9288409413 5109102.554323035, 780861.7221362399 5115049.338201955, 783562.1562752061 5120758.926477059, 786809.2246008745 5126176.332692079, 790571.6560702405 5131249.38426371, 794813.2164115001 5135929.224932104, 799493.057079894 5140170.785273364, 804566.1086515248 5143933.21674273, 809983.5148665451 5147180.285068398, 815693.103141649 5149880.719207364, 821639.8870205691 5152008.512502663, 827766.5957237083 5153543.17314169, 834014.2256970558 5154469.921503561, 840322.6088486663 5154779.832494938, 846630.9920002768 5154469.921503561, 852878.6219736243 5153543.17314169, 859005.3306767634 5152008.512502663, 864952.1145556835 5149880.719207364, 870661.7028307875 5147180.285068398, 876079.1090458079 5143933.21674273, 881152.1606174385 5140170.785273364, 885832.0012858325 5135929.224932104, 890073.5616270921 5131249.38426371, 893835.9930964581 5126176.332692079, 897083.0614221265 5120758.926477059, 899783.4955610927 5115049.338201955, 901911.2888563912 5109102.554323035, 903445.9494954182 5102975.8456198955, 904372.6978572889 5096728.215646548, 904682.6088486663 5090419.832494938, 904372.6978572889 5084111.449343327), (888360.1756051333 5095151.119858646, 887665.1143337302 5099836.842338656, 886514.1188544601 5104431.87386601, 884918.273882986 5108891.9617752, 882892.9482787614 5113174.152981529, 880457.6470345102 5117237.207642794, 877635.8234324856 5121041.996321517, 874454.653176541 5124551.8768228125, 870944.7726752455 5127733.047078758, 867139.9839965225 5130554.870680782, 863076.9293352572 5132990.1719250325, 858794.7381289292 5135015.497529258, 854334.6502197392 5136611.342500731, 849739.6186923848 5137762.337980002, 845053.8962123742 5138457.399251405, 840322.6088486663 5138689.832494938, 835591.3214849584 5138457.399251405, 830905.5990049478 5137762.337980002, 826310.5674775934 5136611.342500731, 821850.4795684034 5135015.497529258, 817568.2883620753 5132990.1719250325, 813505.2337008101 5130554.870680782, 809700.4450220871 5127733.047078758, 806190.5645207916 5124551.8768228125, 803009.394264847 5121041.996321517, 800187.5706628225 5117237.207642794, 797752.2694185713 5113174.152981529, 795726.9438143465 5108891.9617752, 794131.0988428725 5104431.87386601, 792980.1033636024 5099836.842338656, 792285.0420921993 5095151.119858646, 792052.6088486663 5090419.832494938, 792285.0420921993 5085688.54513123, 792980.1033636024 5081002.82265122, 794131.0988428725 5076407.791123865, 795726.9438143465 5071947.703214675, 797752.2694185713 5067665.512008347, 800187.5706628225 5063602.457347082, 803009.394264847 5059797.668668359, 806190.5645207916 5056287.788167063, 809700.4450220872 5053106.617911118, 813505.2337008101 5050284.794309094, 817568.2883620753 5047849.493064843, 821850.4795684034 5045824.167460618, 826310.5674775934 5044228.322489144, 830905.5990049478 5043077.327009873, 835591.3214849584 5042382.2657384705, 840322.6088486663 5042149.832494938, 845053.8962123742 5042382.2657384705, 849739.6186923848 5043077.327009873, 854334.6502197392 5044228.322489144, 858794.7381289292 5045824.167460618, 863076.9293352573 5047849.493064843, 867139.9839965225 5050284.794309094, 870944.7726752455 5053106.617911118, 874454.653176541 5056287.788167063, 877635.8234324856 5059797.668668359, 880457.6470345102 5063602.457347082, 882892.9482787614 5067665.512008347, 884918.2738829862 5071947.703214675, 886514.1188544601 5076407.791123865, 887665.1143337302 5081002.82265122, 888360.1756051333 5085688.54513123, 888592.6088486663 5090419.832494938, 888360.1756051333 5095151.119858646))"
